creator,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth,acervo,source,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,confianca_preenchimento,museum_json,lat_birth,lon_birth,score_birth,lat_death,lon_death,score_death
Júlio Pomar,Portugal,University of Porto,,Lisbon,,Lisbon,male,,,,,,,MAC,MAC,,,,,,,,,38.7070085,-9.1356407,100.0,38.7070085,-9.1356407,100.0
Júnior Suci,,,,,,,,,,instituições identificadas; datas dos estudos não localizadas com precisão,,,,MAC; outros,MAC; outros,,Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP); Instituto de Artes da Universidade Estadual de Campinas (UNICAMP),,,Memorial da América Latina; Casa Museu Ema Klabin,,alta,MAC USP,,,,,,
K.R.H. Sonderborg,Kingdom of Denmark,,,Sønderborg,,Hamburg,male,,,,,,,MAC,MAC,,,,,,,,,54.9092748,9.8073405,100.0,53.550677999,9.99697,100.0
Karel Appel,Kingdom of the Netherlands,Royal Academy of Fine Arts,,Amsterdam,Père Lachaise Cemetery,Zurich,male,,,A cronologia da fundação confirma ingresso na Rijksakademie em 1942 e proteção estudantil encerrada cerca de dois anos depois.,,,,MAC; outros,MAC; outros,"Amsterdã, Países Baixos",Rijksakademie van beeldende kunsten,1942–1944,https://karelappelfoundation.com/karel-appel/chronology,https://karelappelfoundation.com/karel-appel/chronology,https://karelappelfoundation.com/karel-appel/chronology,alta,MAC USP,52.361524688,4.890870311,100.0,47.38454096,8.529927493,100.0
Karl Bertil Gado,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Karl Hartung,Germany,,,Hamburg,Zehlendorf Forest Cemetery,Berlin,male,,,,,,,MAC,MAC,,,,,,,,,53.550677999,9.99697,100.0,52.517669999,13.405537999,100.0
Karl Plattner,Italy,Brera Academy,,Mals,,Milan,male,,,,,,,MAC; outros,MAC; outros,"Veneza, Itália",Accademia di Belle Arti di Venezia,1937–1941,https://de.wikipedia.org/wiki/Karl_Plattner,https://de.wikipedia.org/wiki/Karl_Plattner,https://de.wikipedia.org/wiki/Karl_Plattner,media,MAC USP,46.6889259,10.5476666,100.0,45.4636183,9.1881156,100.0
Karl Schmidt-Rottluff,Germany,TUD Dresden University of Technology,,Rottluff,Waldfriedhof Dahlem,West Berlin,male,,,,,,,MAC,MAC,,,,,,,,,50.835905147,12.855559336,100.0,39.8092067,-74.9419162,100.0
Karl Schrag,United States,,,Karlsruhe,,New York City,male,,,,,,,MAC,MAC,,,,,,,,,49.009625999,8.405282,100.0,40.7130466,-74.0072301,100.0
Karl Vogt,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Karoly Pichler,Hungary,,,Budapest,,,male,,,,,,,MAC,MAC,,,,,,,,,47.4981441,19.0405528,100.0,,,
Katie van Scherpenberg,Brazil,,,São Paulo,,,female,,,,,,,MAC,MAC,,,,,,,,,-23.5486657,-46.6382522,100.0,,,
Kazimir Glaz,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Kazmer Féjer,Brazil,Hungarian University of Fine Arts,,Pécs,,Sesimbra,male,,,,,,,MAC,MAC,,,,,,,,,46.0713012,18.2331371,100.0,38.495009474041,-9.120185632259,100.0
Kazuo Wakabayashi,Japan,,,Kobe,,,,,,também frequenta aulas de desenho e pintura de Kanosuke Tamura,,,,MAC; outros,MAC; outros,"Hikone, Shiga, Japão; Tóquio, Japão; Tóquio, Japão",Escola Técnica de Hikone; Escola de Belas Artes; Academia Niki,1944; 1947–1950; 1947–1950,https://enciclopedia.itaucultural.org.br/pessoas/1011-wakabayashi,https://enciclopedia.itaucultural.org.br/pessoas/1011-wakabayashi,https://enciclopedia.itaucultural.org.br/pessoas/1011-wakabayashi,alta,MAC USP,34.68942768,135.19575707,100.0,,,
Käthe Kollwitz,Weimar Republic,Académie Julian,,Königsberg,Zentralfriedhof Friedrichsfelde,Moritzburg,female,,,,,,,MAC,MAC,,,,,,,,,47.5784231,16.129946,100.0,51.159494999,13.68009,100.0
Keith Vaughan,,,,,,,male,,,,,,,MAC,MAC,,,,,,,,,,,,,,
